Date,Close,Date,Close,Date,Close
3/15/2016 16:00,113.19,3/15/2016 16:00,577.02,3/15/2016 16:00,72.23
3/16/2016 16:00,113.71,3/16/2016 16:00,574.27,3/16/2016 16:00,73.5
3/17/2016 16:00,114.92,3/17/2016 16:00,559.44,3/17/2016 16:00,74.25
3/18/2016 16:00,114.7,3/18/2016 16:00,552.08,3/18/2016 16:00,76.25
3/21/2016 16:00,114.67,3/21/2016 16:00,553.98,3/21/2016 16:00,78.11
3/22/2016 16:00,115.48,3/22/2016 16:00,560.48,3/22/2016 16:00,78.18
3/23/2016 16:00,112.41,3/23/2016 16:00,569.63,3/23/2016 16:00,76.56
3/24/2016 16:00,112.89,3/24/2016 16:00,582.95,3/24/2016 16:00,75.86
3/28/2016 16:00,115.22,3/28/2016 16:00,579.87,3/28/2016 16:00,76.48
3/29/2016 16:00,118.28,3/29/2016 16:00,593.86,3/29/2016 16:00,78.08
3/30/2016 16:00,117.68,3/30/2016 16:00,598.69,3/30/2016 16:00,78.86
3/31/2016 16:00,117.85,3/31/2016 16:00,593.64,3/31/2016 16:00,79.03
4/1/2016 16:00,120.62,4/1/2016 16:00,598.5,4/1/2016 16:00,78.73
4/4/2016 16:00,118.61,4/4/2016 16:00,593.19,4/4/2016 16:00,79.08
4/5/2016 16:00,117.13,4/5/2016 16:00,586.14,4/5/2016 16:00,77.32
4/6/2016 16:00,119.46,4/6/2016 16:00,602.08,4/6/2016 16:00,78.68
4/7/2016 16:00,118.1,4/7/2016 16:00,591.43,4/7/2016 16:00,77.61
4/8/2016 16:00,117.85,4/8/2016 16:00,594.6,4/8/2016 16:00,77.47
4/11/2016 16:00,117.71,4/11/2016 16:00,595.93,4/11/2016 16:00,77.71
4/12/2016 16:00,119.97,4/12/2016 16:00,603.17,4/12/2016 16:00,77.86
4/13/2016 16:00,125.35,4/13/2016 16:00,614.82,4/13/2016 16:00,79.64
4/14/2016 16:00,126.56,4/14/2016 16:00,620.75,4/14/2016 16:00,79.61
4/15/2016 16:00,127.34,4/15/2016 16:00,625.89,4/15/2016 16:00,78.97
4/18/2016 16:00,130.1,4/18/2016 16:00,635.35,4/18/2016 16:00,79.01
4/19/2016 16:00,127.57,4/19/2016 16:00,627.9,4/19/2016 16:00,79.46
4/20/2016 16:00,129.44,4/20/2016 16:00,632.99,4/20/2016 16:00,81.21
4/21/2016 16:00,126.51,4/21/2016 16:00,631,4/21/2016 16:00,80.78
4/22/2016 16:00,126.41,4/22/2016 16:00,620.5,4/22/2016 16:00,79.89
4/25/2016 16:00,124.6,4/25/2016 16:00,626.2,4/25/2016 16:00,78.84
4/26/2016 16:00,125.85,4/26/2016 16:00,616.88,4/26/2016 16:00,78.61
4/27/2016 16:00,125.9,4/27/2016 16:00,606.57,4/27/2016 16:00,77.65
4/28/2016 16:00,123.86,4/28/2016 16:00,602,4/28/2016 16:00,76.4
4/29/2016 16:00,124.89,4/29/2016 16:00,659.59,4/29/2016 16:00,76.94
5/2/2016 16:00,126.45,5/2/2016 16:00,683.85,5/2/2016 16:00,76.61
5/3/2016 16:00,125.34,5/3/2016 16:00,671.32,5/3/2016 16:00,75.91
5/4/2016 16:00,124.36,5/4/2016 16:00,670.9,5/4/2016 16:00,75.82
5/5/2016 16:00,124.88,5/5/2016 16:00,659.09,5/5/2016 16:00,78.83
5/6/2016 16:00,128.03,5/6/2016 16:00,673.95,5/6/2016 16:00,79.2
5/9/2016 16:00,127.25,5/9/2016 16:00,679.75,5/9/2016 16:00,79.41
5/10/2016 16:00,128.89,5/10/2016 16:00,703.07,5/10/2016 16:00,79.72
5/11/2016 16:00,129.7,5/11/2016 16:00,713.23,5/11/2016 16:00,79.8
5/12/2016 16:00,127.96,5/12/2016 16:00,717.93,5/12/2016 16:00,79.16
